fecha_analisis,fixture_id,partido,competicion,mercado,lado,odds,modelo_prob,implied_prob,edge,ev_pct,metodo,resultado
2026-04-10 14:19,1492014,Belgrano Cordoba vs Aldosivi,Liga Profesional,Tiros Aldosivi O/U 8.5,Over/Si,1.44,89.9%,64.5%,+25.4%,+29.5,v2,
2026-04-10 14:19,1492014,Belgrano Cordoba vs Aldosivi,Liga Profesional,Tiros Aldosivi O/U 9.5,Over/Si,1.72,78.9%,53.8%,+25.1%,+35.6,v2,
2026-04-10 14:19,1492014,Belgrano Cordoba vs Aldosivi,Liga Profesional,Tiros Aldosivi O/U 7.5,Over/Si,1.28,95.9%,73.2%,+22.7%,+22.8,v2,
2026-04-10 14:19,1492014,Belgrano Cordoba vs Aldosivi,Liga Profesional,Goles Belgrano Cordoba O/U 1.5,Under/No,1.73,76.1%,53.6%,+22.5%,+31.6,v2,
2026-04-10 14:19,1492014,Belgrano Cordoba vs Aldosivi,Liga Profesional,Goles tot. O/U 1.5,Under/No,2.50,59.4%,37.5%,+21.9%,+48.5,v2,
2026-04-10 14:19,1492014,Belgrano Cordoba vs Aldosivi,Liga Profesional,Goles tot. O/U 2.5,Under/No,1.50,83.5%,62.5%,+21.0%,+25.2,v2,
2026-04-10 14:19,1492014,Belgrano Cordoba vs Aldosivi,Liga Profesional,Arco tot. O/U 8.5,Under/No,1.61,86.4%,66.9%,+19.5%,+39.1,v2,
2026-04-10 14:19,1492014,Belgrano Cordoba vs Aldosivi,Liga Profesional,Arco tot. O/U 6.5,Under/No,2.10,63.2%,44.1%,+19.0%,+32.7,v2,
2026-04-10 14:19,1492014,Belgrano Cordoba vs Aldosivi,Liga Profesional,Arco tot. O/U 7.5,Under/No,1.61,76.7%,57.7%,+18.9%,+23.5,v2,
2026-04-10 14:19,1492014,Belgrano Cordoba vs Aldosivi,Liga Profesional,Tiros Aldosivi O/U 10.5,Over/Si,2.10,63.0%,44.1%,+18.8%,+32.3,v2,
2026-04-10 14:19,1492014,Belgrano Cordoba vs Aldosivi,Liga Profesional,Arco tot. O/U 5.5,Under/No,3.25,47.1%,29.0%,+18.1%,+53.1,v2,
2026-04-10 14:19,1492014,Belgrano Cordoba vs Aldosivi,Liga Profesional,Goles Belgrano Cordoba O/U 0.5,Under/No,4.00,39.5%,23.4%,+16.1%,+57.9,v2,
2026-04-10 14:19,1492014,Belgrano Cordoba vs Aldosivi,Liga Profesional,Arco Belgrano Cordoba O/U 4.5,Under/No,1.66,71.4%,55.9%,+15.6%,+18.6,v2,
